eventid,time,location,latitude,longitude,depth,magnitude,shakemap-depth,shakemap-event-description,shakemap-event-type,shakemap-eventsource,shakemap-eventsourcecode,shakemap-eventtime,shakemap-gmice,shakemap-latitude,shakemap-longitude,shakemap-magnitude,shakemap-map-status,shakemap-maximum-latitude,shakemap-maximum-longitude,shakemap-maxmmi,shakemap-maxmmi-grid,shakemap-maxpga,shakemap-maxpga-grid,shakemap-maxpgv,shakemap-maxpgv-grid,shakemap-maxpsa03,shakemap-maxpsa03-grid,shakemap-maxpsa10,shakemap-maxpsa10-grid,shakemap-maxpsa30,shakemap-maxpsa30-grid,shakemap-minimum-latitude,shakemap-minimum-longitude,shakemap-original-signature,shakemap-original-signature-version,shakemap-pdl-client-version,shakemap-process-timestamp,shakemap-review-status,shakemap-shakemap-code-version,shakemap-version,losspager-alertlevel,losspager-depth,losspager-eventsource,losspager-eventsourcecode,losspager-eventtime,losspager-latitude,losspager-longitude,losspager-magnitude,losspager-maxmmi,losspager-original-signature,losspager-original-signature-version,losspager-pdl-client-version,losspager-review-status,dyfi-depth,dyfi-eventsource,dyfi-eventsourcecode,dyfi-eventtime,dyfi-latitude,dyfi-longitude,dyfi-magnitude,dyfi-maxmmi,dyfi-num-responses,dyfi-numResp,dyfi-original-signature,dyfi-original-signature-version,dyfi-pdl-client-version,shakemap-overlayHeight,shakemap-overlayWidth
us70006tev,2020-01-02 04:29:06.582,"81 km SW of T?yb?d, Iran",34.1326,60.2681,10.0,5.5,10.0,USGS NEIC ShakeMap,ACTUAL,us,70006tev,2020-01-02T04:29:06.000Z,WGRW12,34.1326,60.2681,5.5,automatic,35.033,61.367,6.842,6.842,0.268,0.268,2.946,2.946,0.552,0.552,0.187,0.187,0.029,0.029,33.233,59.2,MCwCFDyXzcmHoJW53H361sfEMQ1g0949AhR4S8D1Ew2C+HOP3/KigHZcByub7Q==,v1,Version 1.14.0 2018-04-02,2020-02-12T21:59:05Z,automatic,4.0.1+381.g7b3fa70.dirty,3,green,10.0,us,70006tev,2020-01-02T04:29:06.000Z,34.1326,60.2681,5.5,6.0,MCwCFB2MtKl8ZkRdV0oEV8L4ubftXvVYAhQ02iM5INzLdXS531Oj8tfKo0fyyw==,v1,Version 1.14.1 2018-04-26,automatic,10.0,us,70006tev,2020-01-02T04:29:06.000Z,34.1326,60.2681,5.5,4.8,6.0,6.0,MCwCFCeh/3nsulHyeBmafqkEzfIG/pVBAhRZuVLynAspbWfTuvHs/AxSRmaSww==,v1,Version 2.4.0 2020-05-11,,
us70006thw,2020-01-02 11:25:04.368,"287 km ESE of Katabu, Indonesia",-5.7527,124.976,10.0,5.6,10.0,USGS NEIC ShakeMap,ACTUAL,us,70006thw,2020-01-02T11:25:04.000Z,WGRW12,-5.7557,124.9741,5.6,automatic,-4.833,125.883,3.741,6.313,0.017,0.237,0.148,2.51,0.04,0.412,0.013,0.097,0.002,0.013,-6.633,124.067,MCwCFC09ew4muO62j02f5IbB+csGUoPPAhQ+T1K+pi34EJ1xLSqIFfPilsiszg==,v1,Version 1.14.0 2018-04-02,2020-02-13T14:27:10Z,automatic,4.0.1+381.g7b3fa70.dirty,6,green,10.0,us,70006thw,2020-01-02T11:25:04.000Z,-5.7557,124.9741,5.6,0.0,MC0CFEWxFSfnMDiiWA+GRPNzTm8PGlcDAhUAjomnvkeP3McziP6EGl8H37dPrdo=,v1,Version 1.14.1 2018-04-26,automatic,,,,,,,,,,,,,,,
us70006ttf,2020-01-02 18:23:53.135,"38 km ENE of Hasaki, Japan",35.8098,141.249,31.0,5.7,31.0,USGS NEIC ShakeMap,ACTUAL,us,70006ttf,2020-01-02T18:23:53.000Z,WGRW12,35.8098,141.249,5.7,automatic,36.7,142.367,4.11,4.72,0.052,0.11,1.445,1.478,0.128,0.215,0.044,0.046,0.005,0.005,34.9,140.15,MC0CFQCL2qfeUeE+3HwIjwGFMMolnY8XhwIUfTnqdTIZ9c3OwCn08luOG3oxRIE=,v1,Version 1.14.0 2018-04-02,2020-03-16T14:56:46Z,automatic,4.0.1+381.g7b3fa70.dirty,7,green,31.0,us,70006ttf,2020-01-02T18:23:53.000Z,35.8098,141.249,5.7,4.0,MCwCFDY0azJpW9M5D9OFTUKxTuLtwOxtAhQjw6tVN2qGzROqoIpBPYfRa6p59A==,v1,Version 1.14.1 2018-04-26,automatic,31.0,us,70006ttf,2020-01-02T18:23:53.000Z,35.8087,141.2462,5.6,4.5,133.0,133.0,MCwCFGZ+1Y+dFHK/nxCieu2QkuIVtXo0AhQgwky7+6L1Gfkau/3i+C6ENLMQeQ==,v1,Version 2.1.0 2019-03-07,,
us70006u7m,2020-01-03 15:28:54.137,"7 km W of Santa Teresa, Nicaragua",11.7392,-86.2862,106.87,5.5,106.9,USGS NEIC ShakeMap,ACTUAL,us,70006u7m,2020-01-03T15:28:54.000Z,WGRW12,11.7392,-86.2862,5.5,automatic,12.633,-85.35,3.486,3.486,0.012,0.012,-0.328,-0.328,0.02,0.02,0.007,0.007,0.001,0.001,10.833,-87.183,MCwCFA4j5AyH6+/+f35z337AzFy6b2YyAhQXovvvirGg21N/BvovfK/WGeN8Kg==,v1,Version 1.14.0 2018-04-02,2020-02-03T16:55:38Z,automatic,4.0.1+381.g7b3fa70.dirty,5,green,106.9,us,70006u7m,2020-01-03T15:28:54.000Z,11.7392,-86.2862,5.5,4.0,MCwCFHfM3M5XG7qyY9ZLgQaYWmW87FK6AhQGOgpI/yGaHf2m0uoCkOZa/ZME1A==,v1,Version 1.14.1 2018-04-26,automatic,109.08,us,70006u7m,2020-01-03T15:28:54.000Z,11.7289,-86.2978,5.5,4.2,62.0,62.0,MC4CFQDj+8oEcyr0+BxbDuEyLrwrke4Q3AIVAKOp3Pc4iHst4dTaD1MYn1yGFo1o,v1,Version 2.1.0 2019-03-07,,
us70006uwq,2020-01-05 04:40:49.332,"3 km W of Reforma de Pineda, Mexico",16.4011,-94.489,87.0,5.9,87.0,USGS NEIC ShakeMap,ACTUAL,us,70006uwq,2020-01-05T04:40:49.000Z,WGRW12,16.4011,-94.489,5.9,automatic,17.383,-93.45,4.663,4.663,0.05,0.05,0.803,0.803,0.086,0.086,0.024,0.024,0.004,0.004,15.417,-95.483,MCwCFCV67JiGFssMxPxOnyS1HVhxLicoAhRUiqfttTOY8nj8gY5ON9d77i8kcQ==,v1,Version 1.14.0 2018-04-02,2020-02-13T00:13:24Z,automatic,4.0.1+381.g7b3fa70.dirty,5,green,87.0,us,70006uwq,2020-01-05T04:40:49.000Z,16.4011,-94.489,5.9,5.0,MC0CFQCFLJtWefYjrLFQOiGsG3EIbbIG8AIUSJDpuwVJK4oxETd9QGuLJCnJFGU=,v1,Version 1.14.1 2018-04-26,automatic,87.0,us,70006uwq,2020-01-05T04:40:49.000Z,16.4011,-94.489,5.9,5.9,98.0,98.0,MC4CFQDHMEe56C+KOhR29qr/WWaZ075s/AIVAK7gkwBiib0lNSyFwYKUbtBQ8gCQ,v1,Version 2.7.9 2021-02-10,,
us70006v42,2020-01-06 01:29:20.741,north of Ascension Island,0.231,-16.9866,10.0,5.6,10.0,USGS NEIC ShakeMap,ACTUAL,us,70006v42,2020-01-06T01:29:20.000Z,WGRW12,0.231,-16.9866,5.6,automatic,1.133,-16.067,,6.276,,0.243,,2.546,,0.41,,0.097,,0.014,-0.65,-17.867,MCwCFFqhVSaqg7RkYufZf/OZv6xurpXSAhRDBsdUtjCjBzW7UaIYfLUuZ17GSg==,v1,Version 1.14.0 2018-04-02,2020-01-20T23:12:12Z,automatic,4.0.1+381.g7b3fa70.dirty,4,green,10.0,us,70006v42,2020-01-06T01:29:20.000Z,0.231,-16.9866,5.6,0.0,MCwCFDJ2fObF4F8HXHl1iXj5ZwCQcj+tAhRgtfhd/R6h3am8V2/h5109QuImTQ==,v1,Version 1.14.1 2018-04-26,automatic,,,,,,,,,,,,,,,
pr2020006006,2020-01-06 10:32:18.770,"14 km S of Indios, Puerto Rico",17.8675,-66.8193,6.0,5.8,6.0,USGS NEIC ShakeMap,ACTUAL,pr,2020006006,2020-01-06T10:32:18.000Z,WGRW12,17.8675,-66.8193,5.8,automatic,18.767,-65.85,6.356,6.591,0.26,0.368,2.965,3.021,0.514,0.572,0.197,0.197,0.042,0.043,16.95,-67.75,MCwCFC1RhgXgIuJTe+hLr1OT+2NR6+RmAhQfwDHf41a0iu1vXZXR5Zm9Kp17KA==,v1,Version 1.14.0 2018-04-02,2020-01-11T19:30:54Z,reviewed,4.0.1+381.g7b3fa70.dirty,10,yellow,6.0,pr,2020006006,2020-01-06T10:32:18.000Z,17.8675,-66.8193,5.8,6.0,MCwCFDZViQFTfcYKAi+3TinzxjNISooMAhRS7R2TRF1IJ0dhc22fRIkMwdnSyg==,v1,Version 1.14.1 2018-04-26,automatic,6.0,pr,2020006006,2020-01-06T10:32:18.000Z,17.8675,-66.8193,5.8,6.3,936.0,936.0,MC0CFADr8D+4wskjpsknesRfZyIBOpvAAhUAsFW9Dymc+32IsiAx8/degENVvvk=,v1,Version 2.1.0 2019-03-07,,
us70006vkq,2020-01-07 06:05:19.759,"14 km S of Sinabang, Indonesia",2.3481,96.3575,17.0,6.3,17.0,USGS NEIC ShakeMap,ACTUAL,us,70006vkq,2020-01-07T06:05:19.000Z,WGRW12,2.3481,96.3575,6.3,automatic,3.333,97.35,6.331,6.338,0.228,0.229,2.721,2.778,0.557,0.561,0.164,0.174,0.021,0.024,1.35,95.367,MCwCFHLAvu5HqPq11pH/6X9TdELmqsV+AhQhgbBJLQXd7nQyhE8RBT84aOLNvQ==,v1,Version 1.14.0 2018-04-02,2020-02-17T14:15:40Z,automatic,4.0.1+381.g7b3fa70.dirty,6,green,17.0,us,70006vkq,2020-01-07T06:05:19.000Z,2.3481,96.3575,6.3,6.0,MCwCFHj2mObsH+n9Y52yoEm81Pi0e3nsAhRirCLvmGVFA9DeLLrjPZqPiAdPqQ==,v1,Version 1.14.1 2018-04-26,automatic,17.0,us,70006vkq,2020-01-07T06:05:19.000Z,2.3481,96.3575,6.3,6.5,13.0,13.0,MCwCFG4jS7sO2HckpCYqmhJZfDpwjWvFAhRhS5oHxyqMea8MhO387iiDgsPmWQ==,v1,Version 2.1.0 2019-03-07,,
us70006vll,2020-01-07 08:24:25.262,"13 km SSE of Maria Antonia, Puerto Rico",17.8686,-66.8266,8.95,6.4,8.9,USGS NEIC ShakeMap,ACTUAL,us,70006vll,2020-01-07T08:24:25.000Z,WGRW12,17.8686,-66.8266,6.4,automatic,19.917,-64.667,7.569,7.63,0.589,0.597,3.767,3.903,0.869,0.926,0.569,0.665,0.099,0.127,15.967,-68.85,MC0CFQCSlfC8V+W45+WSZTL284tEY/6ShwIUIGCL9yuyZ9TiP9uxZVOYdG3IXH4=,v1,Version 1.14.0 2018-04-02,2020-03-21T16:53:21Z,automatic,4.0.1+381.g7b3fa70.dirty,13,orange,8.9,us,70006vll,2020-01-07T08:24:25.000Z,17.8686,-66.8266,6.4,8.0,MCwCFHuhuyjWK8wfSpjiFHrK5yEe0nZpAhQjpK1TxMgJqtrCzQ8XesknHZJ6Yw==,v1,Version 1.14.1 2018-04-26,automatic,8.95,us,70006vll,2020-01-07T08:24:25.000Z,17.8686,-66.8266,6.4,8.2,1732.0,1732.0,MCwCFAa2a0m7s8hxsospEkTH7Vs4ZE2EAhRFFuyaT4WVN5mmk3wmKDemrcUd1g==,v1,Version 2.7.9 2021-02-10,,
us70006vm9,2020-01-07 08:34:01.979,"11 km S of Tallaboa, Puerto Rico",17.8919,-66.7217,10.0,5.6,10.0,USGS NEIC ShakeMap,ACTUAL,us,70006vm9,2020-01-07T08:34:01.000Z,WGRW12,17.8919,-66.7217,5.6,automatic,18.783,-65.75,5.283,5.545,0.077,0.096,1.673,1.99,0.209,0.269,0.041,0.058,0.014,0.02,16.983,-67.65,MCwCFC5/76YuiT83WNPVyrrVfS//XLyUAhRi8xq8Xkgp1ymdsMCQXcrM5ZhOsQ==,v1,Version 1.14.0 2018-04-02,2020-02-06T11:57:42Z,automatic,4.0.1+381.g7b3fa70.dirty,8,green,10.0,us,70006vm9,2020-01-07T08:34:01.000Z,17.8919,-66.7217,5.6,5.0,MCwCFEHx6xA6cb7XEL75IUDPECg3WtKCAhQ5RkrWQgtEWewSGVgrdSwoVkYANg==,v1,Version 1.14.1 2018-04-26,automatic,10.0,us,70006vm9,2020-01-07T08:34:02.000Z,17.9223,-66.7308,5.6,5.9,8.0,8.0,MC0CFHsJOdM+3l1VllgtqsN2DQtrgPNAAhUAmc99SGbl9USnjoa03JPQysMhLMQ=,v1,Version 2.1.0 2019-03-07,,
